1,Intermittent Signal
2,No response
3,Display failure
4,Battery problem
5,OS not starting
6,Custom code XAEW2342 error in launch logo
7,Button not working
8,Broken connector
9,Charge battery very slow
10,Intermittent Signal
11,Web Access Problem
12,Web Site Unavailable
13,Deficient Product
14,Incident with the Delivery Company
15,More products than expected
16,Phone communication problem
17,No response to the Mail
18,Billing Payment Problem
19,Cannot Access to the Support Site
20,Not all products available
