id,dateid,product,ordermethod,area,promotion
0,0,1,1,0,NULL
1,0,1,1,0,NULL
2,0,6,1,0,NULL
3,0,23,2,0,NULL
4,0,28,4,0,NULL
5,0,28,4,0,NULL
6,0,31,4,0,NULL
7,0,31,1,0,NULL
8,0,32,2,0,NULL
9,0,39,3,0,NULL
10,0,46,1,0,NULL
11,0,46,2,0,NULL
12,0,47,4,0,NULL
13,0,49,1,0,NULL
14,0,49,4,0,NULL
15,0,50,0,0,NULL
16,0,53,2,0,NULL
17,0,66,0,0,NULL
18,0,66,0,0,NULL
19,0,87,2,0,NULL
20,0,90,4,0,NULL
21,0,90,4,0,NULL
22,0,95,3,0,NULL
23,0,96,0,0,NULL
24,0,96,2,0,NULL
25,0,1,3,1,NULL
26,0,4,0,1,NULL
27,0,4,2,1,NULL
28,0,6,2,1,NULL
29,0,6,4,1,NULL
30,0,7,3,1,NULL
31,0,10,3,1,NULL
32,0,10,4,1,NULL
33,0,15,0,1,NULL
34,0,15,0,1,NULL
35,0,16,4,1,NULL
36,0,19,4,1,NULL
37,0,24,1,1,NULL
38,0,33,0,1,NULL
39,0,34,2,1,NULL
40,0,35,4,1,NULL
41,0,38,3,1,NULL
42,0,38,0,1,NULL
43,0,40,1,1,NULL
44,0,40,4,1,NULL
45,0,41,4,1,NULL
46,0,45,1,1,NULL
47,0,45,0,1,NULL
48,0,47,0,1,NULL
49,0,49,3,1,NULL
50,0,50,3,1,NULL
51,0,50,3,1,NULL
52,0,53,4,1,NULL
53,0,55,1,1,NULL
54,0,55,1,1,NULL
55,0,57,3,1,NULL
56,0,57,1,1,NULL
57,0,61,4,1,18
58,0,61,3,1,18
59,0,61,2,1,18
60,0,61,2,1,18
61,0,61,3,1,18
62,0,61,0,1,18
63,0,69,2,1,NULL
64,0,92,4,1,NULL
65,0,92,1,1,NULL
66,0,94,0,1,NULL
67,0,97,3,1,NULL
68,0,97,3,1,NULL
69,0,99,2,1,NULL
70,0,6,2,2,NULL
71,0,6,3,2,NULL
72,0,10,4,2,NULL
73,0,10,2,2,NULL
74,0,11,4,2,NULL
75,0,11,4,2,NULL
76,0,17,2,2,NULL
77,0,21,3,2,NULL
78,0,22,2,2,NULL
79,0,31,1,2,NULL
80,0,34,1,2,NULL
81,0,34,3,2,NULL
82,0,39,2,2,NULL
83,0,39,1,2,NULL
84,0,42,2,2,NULL
85,0,42,0,2,NULL
86,0,43,3,2,NULL
87,0,44,2,2,NULL
88,0,47,4,2,NULL
89,0,50,0,2,NULL
90,0,50,3,2,NULL
91,0,59,4,2,NULL
92,0,59,2,2,NULL
93,0,64,3,2,NULL
94,0,64,2,2,NULL
95,0,82,1,2,NULL
96,0,89,3,2,NULL
97,0,89,1,2,NULL
98,0,90,3,2,NULL
99,0,91,3,2,NULL
100,0,96,3,2,NULL
101,0,97,0,2,NULL
102,0,97,1,2,NULL
103,0,98,0,2,NULL
104,0,1,4,3,NULL
105,0,6,4,3,NULL
106,0,7,1,3,NULL
107,0,8,2,3,NULL
108,0,8,2,3,NULL
109,0,10,3,3,NULL
110,0,15,1,3,NULL
111,0,16,3,3,NULL
112,0,19,2,3,NULL
113,0,19,3,3,NULL
114,0,20,2,3,NULL
115,0,32,1,3,NULL
116,0,32,3,3,NULL
117,0,34,4,3,NULL
118,0,34,4,3,NULL
119,0,36,3,3,NULL
120,0,36,4,3,NULL
121,0,37,3,3,NULL
122,0,37,0,3,NULL
123,0,40,4,3,NULL
124,0,41,2,3,NULL
125,0,42,3,3,NULL
126,0,42,0,3,NULL
127,0,51,2,3,NULL
128,0,58,4,3,NULL
129,0,58,0,3,NULL
130,0,60,3,3,NULL
131,0,60,4,3,NULL
132,0,63,3,3,NULL
133,0,63,1,3,NULL
134,0,66,4,3,NULL
135,0,66,2,3,NULL
136,0,68,0,3,NULL
137,0,68,4,3,NULL
138,0,75,3,3,NULL
139,0,79,2,3,NULL
140,0,79,1,3,NULL
141,0,80,4,3,NULL
142,0,80,2,3,NULL
143,0,82,2,3,NULL
144,0,82,2,3,NULL
145,0,83,3,3,NULL
146,0,83,1,3,NULL
147,0,86,2,3,NULL
148,0,88,3,3,NULL
149,0,88,1,3,NULL
150,0,93,1,3,36
151,0,93,1,3,36
152,0,93,3,3,36
153,0,93,3,3,36
154,0,93,4,3,36
155,0,93,2,3,36
156,0,93,3,3,36
157,0,93,2,3,36
158,0,93,3,3,36
159,0,93,3,3,36
160,0,93,2,3,36
161,0,93,4,3,36
162,0,93,3,3,36
163,0,93,1,3,36
164,0,93,4,3,36
165,0,93,4,3,36
166,0,93,1,3,36
167,0,93,0,3,36
168,0,93,2,3,36
169,0,93,2,3,36
170,0,93,4,3,36
171,0,93,2,3,36
172,0,93,1,3,36
173,0,93,3,3,36
174,0,93,1,3,36
175,0,93,4,3,36
176,0,93,1,3,36
177,0,93,1,3,36
178,0,93,1,3,36
179,0,93,3,3,36
180,0,93,1,3,36
181,0,93,3,3,36
182,0,93,1,3,36
183,0,93,4,3,36
184,0,93,4,3,36
185,0,93,2,3,36
186,0,93,1,3,36
187,0,93,3,3,36
188,0,93,3,3,36
189,0,93,2,3,36
190,0,93,4,3,36
191,0,93,4,3,36
192,0,93,0,3,36
193,0,93,2,3,36
194,0,93,4,3,36
195,0,93,4,3,36
196,0,93,2,3,36
197,0,93,3,3,36
198,0,93,3,3,36
199,0,93,1,3,36
200,0,93,2,3,36
201,0,93,3,3,36
202,0,93,2,3,36
203,0,93,1,3,36
204,0,93,4,3,36
205,0,93,3,3,36
206,0,93,4,3,36
207,0,93,1,3,36
208,0,93,1,3,36
209,0,93,3,3,36
210,0,93,3,3,36
211,0,93,1,3,36
212,0,93,2,3,36
213,0,93,3,3,36
214,0,93,3,3,36
215,0,96,2,3,NULL
216,0,96,4,3,NULL
217,0,97,1,3,NULL
218,0,98,2,3,NULL
219,0,98,3,3,NULL
220,0,99,1,3,NULL
221,0,0,4,4,NULL
222,0,0,0,4,NULL
223,0,3,1,4,NULL
224,0,3,3,4,NULL
225,0,5,0,4,NULL
226,0,5,1,4,NULL
227,0,10,0,4,NULL
228,0,10,4,4,NULL
229,0,11,0,4,NULL
230,0,11,0,4,NULL
231,0,13,1,4,NULL
232,0,13,4,4,NULL
233,0,14,3,4,NULL
234,0,15,3,4,NULL
235,0,15,2,4,NULL
236,0,19,2,4,NULL
237,0,19,1,4,NULL
238,0,20,4,4,NULL
239,0,21,0,4,NULL
240,0,21,2,4,NULL
241,0,23,1,4,NULL
242,0,28,0,4,NULL
243,0,28,0,4,NULL
244,0,35,4,4,NULL
245,0,37,0,4,NULL
246,0,38,0,4,NULL
247,0,38,4,4,NULL
248,0,44,2,4,NULL
249,0,52,1,4,NULL
250,0,52,4,4,NULL
251,0,56,2,4,NULL
252,0,59,4,4,NULL
253,0,59,4,4,NULL
254,0,61,1,4,NULL
255,0,63,4,4,NULL
256,0,69,0,4,NULL
257,0,69,4,4,NULL
258,0,72,3,4,NULL
259,0,76,2,4,NULL
260,0,81,1,4,NULL
261,0,81,1,4,NULL
262,0,86,0,4,NULL
263,0,93,1,4,NULL
264,0,96,4,4,NULL
265,0,96,1,4,NULL
266,0,0,3,5,NULL
267,0,7,2,5,NULL
268,0,12,1,5,NULL
269,0,15,2,5,NULL
270,0,16,2,5,12
271,0,16,0,5,12
272,0,16,2,5,12
273,0,16,4,5,12
274,0,16,3,5,12
275,0,16,1,5,12
276,0,16,4,5,12
277,0,16,0,5,12
278,0,16,4,5,12
279,0,16,4,5,12
280,0,16,1,5,12
281,0,16,4,5,12
282,0,16,0,5,12
283,0,16,3,5,12
284,0,16,1,5,12
285,0,16,1,5,12
286,0,16,0,5,12
287,0,16,1,5,12
288,0,16,1,5,12
289,0,16,2,5,12
290,0,16,0,5,12
291,0,16,3,5,12
292,0,16,1,5,12
293,0,16,1,5,12
294,0,16,0,5,12
295,0,16,2,5,12
296,0,16,0,5,12
297,0,16,0,5,12
298,0,16,3,5,12
299,0,16,1,5,12
300,0,16,3,5,12
301,0,16,3,5,12
302,0,16,1,5,12
303,0,16,0,5,12
304,0,16,4,5,12
305,0,16,0,5,12
306,0,16,3,5,12
307,0,16,4,5,12
308,0,16,0,5,12
309,0,16,4,5,12
310,0,16,2,5,12
311,0,19,1,5,NULL
312,0,23,2,5,NULL
313,0,23,3,5,NULL
314,0,25,4,5,NULL
315,0,25,4,5,NULL
316,0,27,0,5,NULL
317,0,34,4,5,NULL
318,0,34,0,5,NULL
319,0,36,3,5,NULL
320,0,36,4,5,NULL
321,0,38,2,5,NULL
322,0,38,0,5,NULL
323,0,42,0,5,NULL
324,0,42,1,5,NULL
325,0,45,0,5,NULL
326,0,45,4,5,NULL
327,0,46,2,5,NULL
328,0,46,2,5,NULL
329,0,49,1,5,NULL
330,0,49,3,5,NULL
331,0,54,0,5,NULL
332,0,55,3,5,NULL
333,0,55,4,5,NULL
334,0,56,3,5,NULL
335,0,56,0,5,NULL
336,0,57,4,5,NULL
337,0,59,0,5,NULL
338,0,63,0,5,NULL
339,0,63,3,5,NULL
340,0,73,3,5,NULL
341,0,74,1,5,NULL
342,0,74,3,5,NULL
343,0,77,3,5,NULL
344,0,80,2,5,NULL
345,0,80,3,5,NULL
346,0,83,2,5,NULL
347,0,86,2,5,NULL
348,0,86,3,5,NULL
349,0,89,4,5,NULL
350,0,89,4,5,NULL
351,0,91,1,5,NULL
352,0,99,4,5,NULL
353,0,1,0,6,NULL
354,0,1,4,6,NULL
355,0,3,3,6,NULL
356,0,5,2,6,NULL
357,0,5,4,6,NULL
358,0,7,3,6,NULL
359,0,7,4,6,NULL
360,0,8,1,6,NULL
361,0,9,3,6,NULL
362,0,13,3,6,NULL
363,0,17,1,6,NULL
364,0,17,1,6,NULL
365,0,19,1,6,NULL
366,0,21,4,6,NULL
367,0,21,2,6,NULL
368,0,28,2,6,NULL
369,0,28,0,6,NULL
370,0,29,0,6,NULL
371,0,29,1,6,NULL
372,0,34,0,6,NULL
373,0,46,4,6,NULL
374,0,46,1,6,NULL
375,0,50,4,6,NULL
376,0,50,4,6,NULL
377,0,53,2,6,NULL
378,0,53,4,6,NULL
379,0,54,2,6,NULL
380,0,55,3,6,NULL
381,0,57,4,6,NULL
382,0,57,4,6,NULL
383,0,58,2,6,NULL
384,0,61,4,6,NULL
385,0,61,1,6,NULL
386,0,62,3,6,0
387,0,62,4,6,0
388,0,62,0,6,0
389,0,62,4,6,0
390,0,62,2,6,0
391,0,62,2,6,0
392,0,62,0,6,0
393,0,62,3,6,0
394,0,62,2,6,0
395,0,62,2,6,0
396,0,62,0,6,0
397,0,62,1,6,0
398,0,62,1,6,0
399,0,62,1,6,0
400,0,62,0,6,0
401,0,62,2,6,0
402,0,62,1,6,0
403,0,62,1,6,0
404,0,62,0,6,0
405,0,62,0,6,0
406,0,62,4,6,0
407,0,62,0,6,0
408,0,62,2,6,0
409,0,62,2,6,0
410,0,62,3,6,0
411,0,62,3,6,0
412,0,62,3,6,0
413,0,62,2,6,0
414,0,62,3,6,0
415,0,62,0,6,0
416,0,62,2,6,0
417,0,62,1,6,0
418,0,62,0,6,0
419,0,62,2,6,0
420,0,62,1,6,0
421,0,62,4,6,0
422,0,62,0,6,0
423,0,62,2,6,0
424,0,62,2,6,0
425,0,62,1,6,0
426,0,62,1,6,0
427,0,62,1,6,0
428,0,62,2,6,0
429,0,62,4,6,0
430,0,62,4,6,0
431,0,62,2,6,0
432,0,62,2,6,0
433,0,62,4,6,0
434,0,62,4,6,0
435,0,62,0,6,0
436,0,62,2,6,0
437,0,62,1,6,0
438,0,62,1,6,0
439,0,62,1,6,0
440,0,62,4,6,0
441,0,62,3,6,0
442,0,62,1,6,0
443,0,62,2,6,0
444,0,62,0,6,0
445,0,62,0,6,0
446,0,62,4,6,0
447,0,62,2,6,0
448,0,62,1,6,0
449,0,62,3,6,0
450,0,62,1,6,0
451,0,62,4,6,0
452,0,62,3,6,0
453,0,62,0,6,0
454,0,62,2,6,0
455,0,62,0,6,0
456,0,62,2,6,0
457,0,62,2,6,0
458,0,62,3,6,0
459,0,62,1,6,0
460,0,62,2,6,0
461,0,62,1,6,0
462,0,62,2,6,0
463,0,62,0,6,0
464,0,62,3,6,0
465,0,62,1,6,0
466,0,62,1,6,0
467,0,62,1,6,0
468,0,62,2,6,0
469,0,62,4,6,0
470,0,62,4,6,0
471,0,62,4,6,0
472,0,62,2,6,0
473,0,62,1,6,0
474,0,62,1,6,0
475,0,62,3,6,0
476,0,62,0,6,0
477,0,62,1,6,0
478,0,62,1,6,0
479,0,62,2,6,0
480,0,62,2,6,0
481,0,62,3,6,0
482,0,62,1,6,0
483,0,62,3,6,0
484,0,62,2,6,0
485,0,62,0,6,0
486,0,62,3,6,0
487,0,62,2,6,0
488,0,62,4,6,0
489,0,62,0,6,0
490,0,62,0,6,0
491,0,62,2,6,0
492,0,62,2,6,0
493,0,62,4,6,0
494,0,62,3,6,0
495,0,62,0,6,0
496,0,62,2,6,0
497,0,62,2,6,0
498,0,62,0,6,0
499,0,62,2,6,0
500,0,62,0,6,0
501,0,62,1,6,0
502,0,62,3,6,0
503,0,62,2,6,0
504,0,62,4,6,0
505,0,62,1,6,0
506,0,63,0,6,NULL
507,0,63,0,6,NULL
508,0,65,2,6,NULL
509,0,66,3,6,NULL
510,0,69,3,6,NULL
511,0,70,0,6,NULL
512,0,73,3,6,NULL
513,0,74,0,6,NULL
514,0,80,1,6,NULL
515,0,80,1,6,NULL
516,0,87,2,6,NULL
517,0,93,2,6,NULL
518,0,95,0,6,NULL
519,0,95,3,6,NULL
520,1,0,3,0,NULL
521,1,0,0,0,NULL
522,1,3,4,0,NULL
523,1,3,2,0,NULL
524,1,6,0,0,NULL
525,1,6,0,0,NULL
526,1,9,2,0,NULL
527,1,15,0,0,NULL
528,1,16,2,0,NULL
529,1,16,0,0,NULL
530,1,20,3,0,NULL
531,1,22,2,0,NULL
532,1,24,3,0,NULL
533,1,24,2,0,NULL
534,1,25,4,0,NULL
535,1,27,4,0,NULL
536,1,27,1,0,NULL
537,1,31,4,0,NULL
538,1,31,0,0,NULL
539,1,32,1,0,NULL
540,1,32,0,0,NULL
541,1,33,1,0,NULL
542,1,39,1,0,NULL
543,1,42,2,0,NULL
544,1,42,2,0,NULL
545,1,44,0,0,NULL
546,1,44,1,0,NULL
547,1,46,1,0,NULL
548,1,46,4,0,NULL
549,1,53,0,0,NULL
550,1,55,3,0,NULL
551,1,55,1,0,NULL
552,1,68,1,0,NULL
553,1,70,1,0,NULL
554,1,70,2,0,NULL
555,1,72,3,0,NULL
556,1,77,3,0,NULL
557,1,77,4,0,NULL
558,1,79,4,0,NULL
559,1,84,3,0,NULL
560,1,84,4,0,NULL
561,1,86,3,0,NULL
562,1,86,1,0,NULL
563,1,92,1,0,NULL
564,1,92,0,0,NULL
565,1,5,4,1,NULL
566,1,11,2,1,NULL
567,1,16,0,1,NULL
568,1,16,1,1,NULL
569,1,17,1,1,NULL
570,1,17,1,1,NULL
571,1,30,4,1,NULL
572,1,30,4,1,NULL
573,1,31,3,1,NULL
574,1,32,3,1,NULL
575,1,33,0,1,NULL
576,1,33,0,1,NULL
577,1,53,1,1,NULL
578,1,56,3,1,NULL
579,1,57,0,1,NULL
580,1,59,2,1,NULL
581,1,60,4,1,NULL
582,1,60,4,1,NULL
583,1,61,4,1,18
584,1,61,1,1,18
585,1,61,3,1,18
586,1,61,3,1,18
587,1,61,1,1,18
588,1,61,3,1,18
589,1,61,3,1,18
590,1,61,2,1,18
591,1,61,3,1,18
592,1,61,3,1,18
593,1,61,0,1,18
594,1,61,4,1,18
595,1,61,2,1,18
596,1,61,4,1,18
597,1,61,1,1,18
598,1,61,3,1,18
599,1,61,4,1,18
600,1,61,4,1,18
601,1,61,2,1,18
602,1,61,0,1,18
603,1,61,0,1,18
604,1,61,4,1,18
605,1,61,3,1,18
606,1,61,1,1,18
607,1,61,1,1,18
608,1,61,1,1,18
609,1,61,3,1,18
610,1,61,2,1,18
611,1,61,2,1,18
612,1,61,2,1,18
613,1,61,0,1,18
614,1,61,4,1,18
615,1,61,4,1,18
616,1,61,1,1,18
617,1,61,4,1,18
618,1,61,4,1,18
619,1,61,2,1,18
620,1,61,1,1,18
621,1,61,2,1,18
622,1,61,2,1,18
623,1,61,0,1,18
624,1,61,1,1,18
625,1,61,4,1,18
626,1,61,2,1,18
627,1,61,4,1,18
628,1,61,3,1,18
629,1,61,0,1,18
630,1,61,4,1,18
631,1,61,3,1,18
632,1,61,1,1,18
633,1,61,1,1,18
634,1,61,0,1,18
635,1,61,4,1,18
636,1,61,1,1,18
637,1,61,2,1,18
638,1,61,0,1,18
639,1,61,4,1,18
640,1,61,2,1,18
641,1,61,0,1,18
642,1,61,0,1,18
643,1,61,3,1,18
644,1,61,1,1,18
645,1,61,3,1,18
646,1,61,0,1,18
647,1,61,3,1,18
648,1,61,0,1,18
649,1,61,3,1,18
650,1,61,1,1,18
651,1,61,1,1,18
652,1,61,3,1,18
653,1,61,4,1,18
654,1,61,1,1,18
655,1,61,2,1,18
656,1,61,3,1,18
657,1,61,4,1,18
658,1,61,0,1,18
659,1,61,0,1,18
660,1,61,3,1,18
661,1,61,1,1,18
662,1,61,3,1,18
663,1,61,0,1,18
664,1,61,4,1,18
665,1,61,3,1,18
666,1,61,4,1,18
667,1,61,3,1,18
668,1,61,4,1,18
669,1,61,3,1,18
670,1,61,4,1,18
671,1,61,1,1,18
672,1,61,0,1,18
673,1,61,3,1,18
674,1,61,4,1,18
675,1,61,2,1,18
676,1,61,1,1,18
677,1,61,4,1,18
678,1,61,0,1,18
679,1,61,3,1,18
680,1,61,4,1,18
681,1,61,2,1,18
682,1,61,1,1,18
683,1,61,1,1,18
684,1,61,4,1,18
685,1,61,3,1,18
686,1,61,3,1,18
687,1,61,3,1,18
688,1,61,0,1,18
689,1,61,2,1,18
690,1,61,1,1,18
691,1,61,2,1,18
692,1,61,0,1,18
693,1,61,0,1,18
694,1,61,0,1,18
695,1,61,0,1,18
696,1,61,1,1,18
697,1,61,2,1,18
698,1,61,1,1,18
699,1,61,3,1,18
700,1,61,2,1,18
701,1,61,3,1,18
702,1,61,3,1,18
703,1,62,3,1,NULL
704,1,62,4,1,NULL
705,1,66,0,1,NULL
706,1,66,2,1,NULL
707,1,68,0,1,NULL
708,1,69,1,1,NULL
709,1,73,0,1,NULL
710,1,75,2,1,NULL
711,1,77,4,1,NULL
712,1,77,3,1,NULL
713,1,83,0,1,NULL
714,1,83,2,1,NULL
715,1,94,0,1,NULL
716,1,95,2,1,NULL
717,1,6,1,2,NULL
718,1,6,4,2,NULL
719,1,8,3,2,NULL
720,1,12,0,2,NULL
721,1,13,2,2,NULL
722,1,13,1,2,NULL
723,1,17,1,2,NULL
724,1,19,2,2,NULL
725,1,21,3,2,NULL
726,1,21,2,2,NULL
727,1,25,3,2,NULL
728,1,28,0,2,NULL
729,1,29,1,2,NULL
730,1,30,0,2,NULL
731,1,30,2,2,NULL
732,1,35,2,2,NULL
733,1,38,1,2,NULL
734,1,56,2,2,NULL
735,1,56,0,2,NULL
736,1,59,2,2,NULL
737,1,59,1,2,NULL
738,1,62,4,2,NULL
739,1,62,0,2,NULL
740,1,64,0,2,NULL
741,1,65,3,2,NULL
742,1,65,3,2,NULL
743,1,68,2,2,NULL
744,1,68,4,2,NULL
745,1,71,3,2,NULL
746,1,74,0,2,NULL
747,1,78,1,2,NULL
748,1,80,3,2,NULL
749,1,82,2,2,NULL
750,1,85,1,2,NULL
751,1,85,4,2,NULL
752,1,88,2,2,NULL
753,1,93,2,2,NULL
754,1,94,3,2,NULL
755,1,95,4,2,NULL
756,1,99,1,2,NULL
757,1,0,0,3,NULL
758,1,2,3,3,NULL
759,1,2,3,3,NULL
760,1,3,0,3,NULL
761,1,3,2,3,NULL
762,1,20,4,3,NULL
763,1,20,4,3,NULL
764,1,36,1,3,NULL
765,1,38,1,3,NULL
766,1,38,0,3,NULL
767,1,42,0,3,NULL
768,1,43,4,3,NULL
769,1,44,1,3,NULL
770,1,44,0,3,NULL
771,1,48,1,3,NULL
772,1,52,3,3,NULL
773,1,59,4,3,NULL
774,1,59,4,3,NULL
775,1,73,0,3,NULL
776,1,76,4,3,NULL
777,1,76,2,3,NULL
778,1,79,4,3,NULL
779,1,79,3,3,NULL
780,1,81,2,3,NULL
781,1,84,2,3,NULL
782,1,86,0,3,NULL
783,1,86,2,3,NULL
784,1,90,0,3,NULL
785,1,90,1,3,NULL
786,1,91,0,3,NULL
787,1,93,1,3,36
788,1,93,3,3,36
789,1,93,4,3,36
790,1,93,3,3,36
791,1,93,1,3,36
792,1,93,0,3,36
793,1,93,0,3,36
794,1,93,0,3,36
795,1,93,0,3,36
796,1,93,2,3,36
797,1,93,0,3,36
798,1,93,1,3,36
799,1,93,1,3,36
800,1,93,3,3,36
801,1,93,2,3,36
802,1,93,2,3,36
803,1,93,4,3,36
804,1,93,2,3,36
805,1,93,1,3,36
806,1,93,3,3,36
807,1,93,2,3,36
