1,62 Mallard Drive,Arlington,22205,United States,US,38.8836,-77.1395
2,0252 Muir Plaza,Jiayuguan,,China,CN,39.81121,98.28618
3,11 Ramsey Crossing,Bradenton,34282,United States,US,27.4272,-82.4387
4,6870 Vidon Circle,Whittier,90605,United States,US,33.9413,-118.0356
5,9 Lakewood Lane,El Paso,88546,United States,US,31.6948,-106.3
6,7 Shoshone Point,Reshetikha,,Russia,RU,56.21566,43.28802
7,1655 Marquette Center,Caieiras,,Brazil,BR,-23.36417,-46.74056
8,9 Mariners Cove Court,Carlsbad,92013,United States,US,33.0169,-116.846
9,09 Towne Park,Boulder,80305,United States,US,39.9807,-105.2531
10,97 Lien Park,Nashville,37245,United States,US,36.1866,-86.7852
11,57 Daystar Street,Jiangning,,China,CN,31.86612,118.6031
12,615 Esch Pass,Philadelphia,19120,United States,US,40.0343,-75.1213
13,76 Dennis Alley,Xiagong,,China,CN,26.38357,119.79502
14,65 Goodland Park,Charlotte,28235,United States,US,35.26,-80.8042
15,0 Waxwing Plaza,Bordeaux,33060 CEDEX,France,FR,44.8404,-0.5805
16,930 Dryden Plaza,El Paso,88519,United States,US,31.6948,-106.3
17,957 Kipling Street,Sussex,,Canada,CA,45.72266,-65.50663
18,7 Shoshone Point,Reshetikha,,Russia,RU,56.21566,43.28802
19,3882 Autumn Leaf Crossing,Denver,80279,United States,US,39.7388,-104.4083
20,36722 Canary Lane,Chicago,60604,United States,US,41.8784,-87.633
21,6353 Tony Lane,Yao,,Japan,JP,34.61667,135.6
