"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-03",,,,,,,"9",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"0.63",",,N,30,",,,,,,,"2.38",",,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-04",,,,,,,"8","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"0.53","1,,N,03,",,,,,,,"1.33","1,,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-05",,,,,,,"10",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"2.16",",,N,18,",,,,,,,"4.25",",,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-06",,,,,,,"16",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"2.51",",,N,07,",,,,,,,"5.94",",,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-08",,,,,,,"19","2,N","11","2,N",,,,,,,,,,,,,,,,,,,,,"2.31","2,,N,12,",,,,,,,"5.76","2,,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-09",,,,,,,"19",",N","11",",N",,,,,,,,,,,,,,,,,,,,,"1.19",",,N,05,",,,,,,,"5.87",",,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-10",,,,,,,"10",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"5.22",",,N,07,",,,,,,,"9.34",",,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2016-12",,,,,,,"12","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.32","1,,N,07,",,,,,,,"0.64","1,,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2017-01",,,,,,,"12","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"0.74","1,,N,23,",,,,,,,"1.87","1,,,N",,,,,,,,,,,,,,,,
"US1FLOR0025","ORLANDO 7.4 WNW, FL US","28.5709495544434","-81.4959411621094","30.5","2017-02",,,,,,,"6","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.64","1,,N,08,",,,,,,,"1.35","1,,,N",,,,,,,,,,,,,,,,
