STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-01",,,,,,,"5",",N","3",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.57",",,N,08,",,,,,,,,,"1.29",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-02",,,,,,,"1",",N","1",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,29,+","0.12",",,N,01,",,,,,,,,,"0.12",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-03",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.00",",,N,31,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-05",,,,,,,"2","1,N","0","1,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.06","1,,N,08,",,,,,,,,,"0.07","1,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-06",,,,,,,"0",",N","0",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,30,+","0.00",",,N,30,+",,,,,,,,,"0.00",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-07",,,,,,,"4",",N","2",",N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.42",",,N,30,",,,,,,,,,"0.88",",,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-08",,,,,,,"6",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.65",",,N,10,",,,,,,,,,"0.82",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-09",,,,,,,"2",",N","1",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,30,+","0.31",",,N,23,",,,,,,,,,"0.36",",,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-10",,,,,,,"1",",N","1",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","0.73",",,N,03,",,,,,,,,,"0.73",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-11",,,,,,,"3","2,N","3","2,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.31","2,,N,28,+",,,,,,,,,"0.75","2,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1AZMR0242","PHOENIX 10.0 S, AZ US","33.295381","-112.068109","382.8","2016-12",,,,,,,"7",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.51",",,N,22,",,,,,,,,,"0.89",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2017-12",,,,,,,"1",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.33",",,N,17,",,,,,,,,,"0.33",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-01",,,,,,,"2",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.36",",,N,10,",,,,,,,,,"0.38",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-02",,,,,,,"2",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.31",",,N,15,",,,,,,,,,"0.60",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-04",,,,,,,"0",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.00",",,N,30,+",,,,,,,,,"0.00",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-05",,,,,,,"1",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.04",",,N,02,",,,,,,,,,"0.04",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-06",,,,,,,"2",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.06",",,N,16,",,,,,,,,,"0.08",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-07",,,,,,,"3",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.17",",,N,31,",,,,,,,,,"0.24",",,,N",,,,,,,,,,,,,,,,
"US1AZMR0484","PARADISE VALLEY 2.4 NNE, AZ US","33.56355","-111.93105","400.5","2018-08",,,,,,,"4",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.83",",,N,09,",,,,,,,,,"1.88",",,,N",,,,,,,,,,,,,,,,
