STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-01","4.9",",W","0","W","0",",W","16",",W","11",",W",,,,,"0",",W","1",",W","0",",W","0",",W","0",",W","28",",W,01,",,,,,"0.85",",,W,19,","65",",W,29,",,,"1417","W","447",",W",,,,,"3.94",",,,W",,,"50.6",",W","58.0",",,,W","43.2",",,,W","350",",W","340",",W",,,"31.1",",W","42",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-02","4.3",",W","0","W","0",",W","4",",W","2",",W",,,,,"0",",W","0",",W","0",",W","13",",W","0",",W","34",",W,05,",,,,,"0.75",",,W,17,","75",",W,15,+",,,"1733","W","316",",W",,,,,"1.03",",,,W",,,"54.1",",W","66.9",",,,W","41.3",",,,W","230",",W","230",",W",,,"28.0",",W","33",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-03","5.6",",W","0","W","0",",W","13",",W","7",",W",,,,,"0",",W","0",",W","0",",W","11",",W","0",",W","35",",W,08,",,,,,"0.88",",,W,05,","74",",W,17,",,,"2022","W","289",",W",,,,,"3.54",",,,W",,,"55.7",",W","66.4",",,,W","45.0",",,,W","260",",W","230","1,W",,,"29.1",",W","39","1,W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-04","6.7",",W","6","W","6",",W","6",",W","4",",W",,,,,"0",",W","0",",W","0",",W","16",",W","0",",W","39",",W,15,",,,,,"0.61",",,W,09,","88",",W,18,",,,"2167","W","145",",W",,,,,"1.67",",,,W",,,"60.4",",W","72.4",",,,W","48.4",",,,W","350",",W","350",",W",,,"23.9",",W","35",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-05","8.1",",W","68","W","61",",W","3",",W","1",",W",,,,,"0",",W","0",",W","0",",W","25",",W","4",",W","47",",W,01,",,,,,"0.16",",,W,06,","98",",W,31,",,,"2234","W","66",",W",,,,,"0.20",",,,W",,,"64.8",",W","77.2",",,,W","52.5",",,,W","260",",W","240","1,W",,,"25.9",",W","34","1,W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-06","7.8",",W","269","W","201",",W","0",",W","0",",W",,,,,"0",",W","0",",W","0",",W","29",",W","13",",W","48",",W,11,",,,,,"0.00",",T,W,17,","102",",W,27,",,,"2243","W","9",",W",,,,,"0.00",",T,,W",,,"71.4",",W","87.2",",,,W","55.6",",,,W","270",",W","250",",W",,,"25.1",",W","34",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-07","8.3",",W","528","W","258",",W","0",",W","0",",W",,,,,"0",",W","0",",W","0",",W","31",",W","14",",W","52",",W,22,",,,,,"0.00",",,W,31,+","105",",W,26,",,,"0","W","0",",W",,,,,"0.00",",,,W",,,"73.3",",W","89.8",",,,W","56.9",",,,W","260",",W","280",",W",,,"23.0",",W","29",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-08","8.3",",W","743","W","215",",W","0",",W","0",",W",,,,,"0",",W","0",",W","0",",W","31",",W","10",",W","54",",W,07,",,,,,"0.00",",,W,31,+","98",",W,13,",,,"0","W","0",",W",,,,,"0.00",",,,W",,,"71.9",",W","87.2",",,,W","56.6",",,,W","290",",W","270",",W",,,"21.9",",W","28",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-09","6.3",",W","911","W","168",",W","0",",W","0",",W",,,,,"0",",W","0",",W","0",",W","29",",W","11",",W","48",",W,13,",,,,,"0.00",",,W,30,+","102",",W,26,",,,"13","W","13",",W",,,,,"0.00",",,,W",,,"70.2",",W","86.2",",,,W","54.2",",,,W","280",",W","280",",W",,,"23.9",",W","28",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-10","5.4",",W","925","W","14","1,W","7",",W","6",",W",,,,,"0","1,W","0","1,W","0","1,W","22","1,W","1","1,W","46","1,W,06,+",,,,,"1.27",",,W,16,","92","1,W,09,",,,"91","W","78","1,W",,,,,"3.42",",,,W",,,"62.9","1,W","74.6","1,,,W","51.1","1,,,W","230",",W","230",",W",,,"23.9",",W","34",",W"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2016-11","3.8",",W","925","W","0",",W","6",",W","3",",W",,,,,"0",",W","0",",W","0",",W","12",",W","0",",W","33",",W,30,+",,,,,"0.32",",,W,20,","76",",W,12,+",,,"387","W","295",",W",,,,,"0.74",",,,W",,,"55.1",",W","66.3",",,,W","44.0",",,,W","220",",W","190",",W",,,"21.9",",W","30",",W"
