holiday_description,state,date
New Year's Day,AK,2013-01-01
Martin Luther King Jr. Day,AK,2013-01-21
Washington's Birthday,AK,2013-02-18
Steward's Day,AK,2013-03-25
Memorial Day,AK,2013-05-27
Independence Day,AK,2013-07-04
Labor Day,AK,2013-09-02
Alaska Day,AK,2013-10-18
Veterans Day,AK,2013-11-11
Thanksgiving,AK,2013-11-28
Christmas Day,AK,2013-12-25
New Year's Day,AK,2014-01-01
Martin Luther King Jr. Day,AK,2014-01-20
Washington's Birthday,AK,2014-02-17
Steward's Day,AK,2014-03-31
Memorial Day,AK,2014-05-26
Independence Day,AK,2014-07-04
Labor Day,AK,2014-09-01
Alaska Day (Observed),AK,2014-10-17
Alaska Day,AK,2014-10-18
Veterans Day,AK,2014-11-11
Thanksgiving,AK,2014-11-27
Christmas Day,AK,2014-12-25
New Year's Day,AK,2015-01-01
Martin Luther King Jr. Day,AK,2015-01-19
Washington's Birthday,AK,2015-02-16
Steward's Day,AK,2015-03-30
Memorial Day,AK,2015-05-25
Independence Day (Observed),AK,2015-07-03
Independence Day,AK,2015-07-04
Labor Day,AK,2015-09-07
Alaska Day,AK,2015-10-18
Alaska Day (Observed),AK,2015-10-19
Veterans Day,AK,2015-11-11
Thanksgiving,AK,2015-11-26
Christmas Day,AK,2015-12-25
New Year's Day,AK,2016-01-01
Martin Luther King Jr. Day,AK,2016-01-18
Washington's Birthday,AK,2016-02-15
Steward's Day,AK,2016-03-28
Memorial Day,AK,2016-05-30
Independence Day,AK,2016-07-04
Labor Day,AK,2016-09-05
Alaska Day,AK,2016-10-18
Veterans Day,AK,2016-11-11
Thanksgiving,AK,2016-11-24
Christmas Day,AK,2016-12-25
Christmas Day (Observed),AK,2016-12-26
New Year's Day,AK,2017-01-01
New Year's Day (Observed),AK,2017-01-02
Martin Luther King Jr. Day,AK,2017-01-16
Washington's Birthday,AK,2017-02-20
Steward's Day,AK,2017-03-27
Memorial Day,AK,2017-05-29
Independence Day,AK,2017-07-04
Labor Day,AK,2017-09-04
Alaska Day,AK,2017-10-18
Veterans Day (Observed),AK,2017-11-10
Veterans Day,AK,2017-11-11
Thanksgiving,AK,2017-11-23
Christmas Day,AK,2017-12-25
New Year's Day,AK,2018-01-01
Martin Luther King Jr. Day,AK,2018-01-15
Washington's Birthday,AK,2018-02-19
Steward's Day,AK,2018-03-26
Memorial Day,AK,2018-05-28
Independence Day,AK,2018-07-04
Labor Day,AK,2018-09-03
Alaska Day,AK,2018-10-18
Veterans Day,AK,2018-11-11
Veterans Day (Observed),AK,2018-11-12
Thanksgiving,AK,2018-11-22
Christmas Day,AK,2018-12-25
New Year's Day,AK,2019-01-01
Martin Luther King Jr. Day,AK,2019-01-21
